wl,n
45.250,4.32944
45.300,4.31787
45.350,4.30645
45.400,4.29518
45.450,4.28405
45.500,4.27306
45.550,4.26220
45.600,4.25148
45.650,4.24089
45.700,4.23043
45.750,4.22010
45.800,4.20989
45.850,4.19980
45.900,4.18983
45.950,4.17998
46.000,4.17025
46.050,4.16062
46.100,4.15111
46.150,4.14171
46.200,4.13242
46.250,4.12323
46.300,4.11415
46.350,4.10517
46.400,4.09628
46.450,4.08750
46.500,4.07881
46.550,4.07022
46.600,4.06172
46.650,4.05331
46.700,4.04500
46.750,4.03677
46.800,4.02863
46.850,4.02058
46.900,4.01261
46.950,4.00472
47.000,3.99692
47.050,3.98919
47.100,3.98155
47.150,3.97398
47.200,3.96649
47.250,3.95908
47.300,3.95174
47.350,3.94447
47.400,3.93728
47.450,3.93016
47.500,3.92310
47.550,3.91612
47.600,3.90920
47.650,3.90236
47.700,3.89557
47.750,3.88885
47.800,3.88220
47.850,3.87561
47.900,3.86908
47.950,3.86261
48.000,3.85621
48.050,3.84986
48.100,3.84357
48.150,3.83734
48.200,3.83117
48.250,3.82505
48.300,3.81899
48.350,3.81298
48.400,3.80703
48.450,3.80113
48.500,3.79528
48.550,3.78949
48.600,3.78374
48.650,3.77805
48.700,3.77240
48.750,3.76681
48.800,3.76126
48.850,3.75576
48.900,3.75031
48.950,3.74490
49.000,3.73954
49.050,3.73423
49.100,3.72896
49.150,3.72373
49.200,3.71855
49.250,3.71341
49.300,3.70832
49.350,3.70326
49.400,3.69825
49.450,3.69328
49.500,3.68835
49.550,3.68346
49.600,3.67860
49.650,3.67379
49.700,3.66902
49.750,3.66428
49.800,3.65958
49.850,3.65492
49.900,3.65029
49.950,3.64571
50.000,3.64115
50.050,3.63663
50.100,3.63215
50.150,3.62770
50.200,3.62329
50.250,3.61891
50.300,3.61456
50.350,3.61025
50.400,3.60597
50.450,3.60172
50.500,3.59750
50.550,3.59331
50.600,3.58916
50.650,3.58504
50.700,3.58094
50.750,3.57688
50.800,3.57284
50.850,3.56884
50.900,3.56487
50.950,3.56092
51.000,3.55700
51.050,3.55311
51.100,3.54925
51.150,3.54542
51.200,3.54161
51.250,3.53783
51.300,3.53408
51.350,3.53035
51.400,3.52665
51.450,3.52297
51.500,3.51932
51.550,3.51570
51.600,3.51210
51.650,3.50853
51.700,3.50498
51.750,3.50145
51.800,3.49795
51.850,3.49447
51.900,3.49102
51.950,3.48759
52.000,3.48418
52.050,3.48080
52.100,3.47743
52.150,3.47409
52.200,3.47078
52.250,3.46748
52.300,3.46421
52.350,3.46095
52.400,3.45772
52.450,3.45451
52.500,3.45132
52.550,3.44815
52.600,3.44501
52.650,3.44188
52.700,3.43877
52.750,3.43568
52.800,3.43261
52.850,3.42956
52.900,3.42653
52.950,3.42352
53.000,3.42053
53.050,3.41756
53.100,3.41461
53.150,3.41167
53.200,3.40875
53.250,3.40585
53.300,3.40297
53.350,3.40011
53.400,3.39726
53.450,3.39443
53.500,3.39162
53.550,3.38883
53.600,3.38605
53.650,3.38329
53.700,3.38055
53.750,3.37782
53.800,3.37511
53.850,3.37241
53.900,3.36973
53.950,3.36707
54.000,3.36442
54.050,3.36179
54.100,3.35917
54.150,3.35657
54.200,3.35399
54.250,3.35142
54.300,3.34886
54.350,3.34632
54.400,3.34380
54.450,3.34128
54.500,3.33879
54.550,3.33630
54.600,3.33384
54.650,3.33138
54.700,3.32894
54.750,3.32651
54.800,3.32410
54.850,3.32170
54.900,3.31932
54.950,3.31694
55.000,3.31459
55.050,3.31224
55.100,3.30991
55.150,3.30759
55.200,3.30528
55.250,3.30299
55.300,3.30070
55.350,3.29843
55.400,3.29618
55.450,3.29393
55.500,3.29170
55.550,3.28948
55.600,3.28727
55.650,3.28508
55.700,3.28289
55.750,3.28072
55.800,3.27856
55.850,3.27641
55.900,3.27427
55.950,3.27214
56.000,3.27003
56.050,3.26793
56.100,3.26583
56.150,3.26375
56.200,3.26168
56.250,3.25962
56.300,3.25757
56.350,3.25553
56.400,3.25350
56.450,3.25148
56.500,3.24948
56.550,3.24748
56.600,3.24549
56.650,3.24352
56.700,3.24155
56.750,3.23959
56.800,3.23765
56.850,3.23571
56.900,3.23379
56.950,3.23187
57.000,3.22996
57.050,3.22806
57.100,3.22618
57.150,3.22430
57.200,3.22243
57.250,3.22057
57.300,3.21872
57.350,3.21688
57.400,3.21504
57.450,3.21322
57.500,3.21141
57.550,3.20960
57.600,3.20780
57.650,3.20602
57.700,3.20424
57.750,3.20247
57.800,3.20070
57.850,3.19895
57.900,3.19721
57.950,3.19547
58.000,3.19374
58.050,3.19202
58.100,3.19031
58.150,3.18861
58.200,3.18691
58.250,3.18523
58.300,3.18355
58.350,3.18188
58.400,3.18021
58.450,3.17856
58.500,3.17691
58.550,3.17527
58.600,3.17364
58.650,3.17201
58.700,3.17040
58.750,3.16879
58.800,3.16718
58.850,3.16559
58.900,3.16400
58.950,3.16242
59.000,3.16085
59.050,3.15928
59.100,3.15773
59.150,3.15617
59.200,3.15463
59.250,3.15309
59.300,3.15156
59.350,3.15004
59.400,3.14852
59.450,3.14702
59.500,3.14551
59.550,3.14402
59.600,3.14253
59.650,3.14105
59.700,3.13957
59.750,3.13810
59.800,3.13664
59.850,3.13518
59.900,3.13373
59.950,3.13229
60.000,3.13085
60.050,3.12942
60.100,3.12800
60.150,3.12658
60.200,3.12517
60.250,3.12376
60.300,3.12236
60.350,3.12097
60.400,3.11958
60.450,3.11820
60.500,3.11682
60.550,3.11545
60.600,3.11409
60.650,3.11273
60.700,3.11138
60.750,3.11003
60.800,3.10869
60.850,3.10736
60.900,3.10603
60.950,3.10471
61.000,3.10339
61.050,3.10208
61.100,3.10077
61.150,3.09947
61.200,3.09817
61.250,3.09688
61.300,3.09560
61.350,3.09432
61.400,3.09304
61.450,3.09177
61.500,3.09051
61.550,3.08925
61.600,3.08800
61.650,3.08675
61.700,3.08551
61.750,3.08427
61.800,3.08304
61.850,3.08181
61.900,3.08059
61.950,3.07937
62.000,3.07816
62.050,3.07695
62.100,3.07575
62.150,3.07455
62.200,3.07336
62.250,3.07217
62.300,3.07098
62.350,3.06981
62.400,3.06863
62.450,3.06746
62.500,3.06630
62.550,3.06514
62.600,3.06398
62.650,3.06283
62.700,3.06169
62.750,3.06054
62.800,3.05941
62.850,3.05827
62.900,3.05715
62.950,3.05602
63.000,3.05490
63.050,3.05379
63.100,3.05268
63.150,3.05157
63.200,3.05047
63.250,3.04937
63.300,3.04828
63.350,3.04719
63.400,3.04611
63.450,3.04502
63.500,3.04395
63.550,3.04288
63.600,3.04181
63.650,3.04074
63.700,3.03968
63.750,3.03863
63.800,3.03758
63.850,3.03653
63.900,3.03548
63.950,3.03444
64.000,3.03341
64.050,3.03238
64.100,3.03135
64.150,3.03032
64.200,3.02930
64.250,3.02829
64.300,3.02727
64.350,3.02627
64.400,3.02526
64.450,3.02426
64.500,3.02326
64.550,3.02227
64.600,3.02128
64.650,3.02029
64.700,3.01931
64.750,3.01833
64.800,3.01735
64.850,3.01638
64.900,3.01541
64.950,3.01445
65.000,3.01349
65.050,3.01253
65.100,3.01157
65.150,3.01062
65.200,3.00968
