"Date/Time","Date/Time","No.1","No.2","No.3"
"Date/Time","Date/Time","A","B","air"
"","","°C","°C","°C"
"2025-10-03 14:25:12","45933.6008333333","52.6","52.3","34.8"
"2025-10-03 14:25:17","45933.6008912037","52.6","52.3","34.8"
"2025-10-03 14:25:22","45933.6009490741","52.7","52.4","35.0"
"2025-10-03 14:25:27","45933.6010069444","52.8","52.5","35.0"
"2025-10-03 14:25:32","45933.6010648148","52.9","52.6","35.2"
"2025-10-03 14:25:37","45933.6011226852","52.9","52.6","35.2"
"2025-10-03 14:25:42","45933.6011805556","52.9","52.7","35.1"
"2025-10-03 14:25:47","45933.6012384259","53.1","52.8","35.1"
"2025-10-03 14:25:52","45933.6012962963","53.2","52.9","35.2"
"2025-10-03 14:25:57","45933.6013541667","53.2","52.9","35.1"
"2025-10-03 14:26:02","45933.6014120370","53.2","53.0","35.1"
"2025-10-03 14:26:07","45933.6014699074","53.2","52.9","35.2"
"2025-10-03 14:26:12","45933.6015277778","53.1","52.8","35.3"
"2025-10-03 14:26:17","45933.6015856481","53.1","52.8","35.3"
"2025-10-03 14:26:22","45933.6016435185","53.2","52.8","35.3"
"2025-10-03 14:26:27","45933.6017013889","53.4","52.9","35.3"
"2025-10-03 14:26:32","45933.6017592593","53.3","52.8","35.3"
"2025-10-03 14:26:37","45933.6018171296","53.3","52.8","35.4"
"2025-10-03 14:26:42","45933.6018750000","53.2","52.7","35.2"
"2025-10-03 14:26:47","45933.6019328704","53.2","52.7","35.3"
"2025-10-03 14:26:52","45933.6019907407","53.1","52.6","35.3"
"2025-10-03 14:26:57","45933.6020486111","53.0","52.5","35.4"
"2025-10-03 14:27:02","45933.6021064815","52.9","52.4","35.4"
"2025-10-03 14:27:07","45933.6021643519","52.9","52.3","35.1"
"2025-10-03 14:27:12","45933.6022222222","52.8","52.3","35.0"
"2025-10-03 14:27:17","45933.6022800926","52.6","52.1","34.9"
"2025-10-03 14:27:22","45933.6023379630","52.4","51.9","34.9"
"2025-10-03 14:27:27","45933.6023958333","52.2","51.7","34.8"
"2025-10-03 14:27:32","45933.6024537037","52.1","51.6","34.8"
"2025-10-03 14:27:37","45933.6025115741","52.0","51.6","34.7"
"2025-10-03 14:27:42","45933.6025694444","51.9","51.5","34.7"
"2025-10-03 14:27:47","45933.6026273148","51.9","51.5","34.7"
"2025-10-03 14:27:52","45933.6026851852","52.0","51.6","34.8"
"2025-10-03 14:27:57","45933.6027430556","52.1","51.7","34.8"
"2025-10-03 14:28:02","45933.6028009259","52.1","51.7","34.8"
"2025-10-03 14:28:07","45933.6028587963","52.1","51.7","34.8"
"2025-10-03 14:28:12","45933.6029166667","52.1","51.7","34.8"
"2025-10-03 14:28:17","45933.6029745370","52.2","51.8","34.9"
"2025-10-03 14:28:22","45933.6030324074","52.3","51.9","34.8"
"2025-10-03 14:28:27","45933.6030902778","52.2","51.8","34.9"
"2025-10-03 14:28:32","45933.6031481481","52.1","51.7","34.9"
"2025-10-03 14:28:37","45933.6032060185","52.0","51.6","34.8"
"2025-10-03 14:28:42","45933.6032638889","52.0","51.6","35.0"
"2025-10-03 14:28:47","45933.6033217593","52.1","51.7","35.1"
"2025-10-03 14:28:52","45933.6033796296","52.2","51.8","35.1"
"2025-10-03 14:28:57","45933.6034375000","52.3","51.9","35.1"
"2025-10-03 14:29:02","45933.6034953704","52.3","52.0","35.2"
"2025-10-03 14:29:07","45933.6035532407","52.4","52.0","35.1"
"2025-10-03 14:29:12","45933.6036111111","52.4","52.1","35.0"
"2025-10-03 14:29:17","45933.6036689815","52.4","52.0","35.0"
"2025-10-03 14:29:22","45933.6037268518","52.3","52.0","35.0"
"2025-10-03 14:29:27","45933.6037847222","52.2","51.9","35.1"
"2025-10-03 14:29:32","45933.6038425926","52.1","51.9","35.1"
"2025-10-03 14:29:37","45933.6039004630","52.1","51.9","35.1"
"2025-10-03 14:29:42","45933.6039583333","52.1","51.9","35.0"
"2025-10-03 14:29:47","45933.6040162037","52.1","52.0","35.1"
"2025-10-03 14:29:52","45933.6040740741","52.2","52.0","35.1"
"2025-10-03 14:29:57","45933.6041319444","52.3","52.1","35.2"
"2025-10-03 14:30:02","45933.6041898148","52.3","52.2","35.2"
"2025-10-03 14:30:07","45933.6042476852","52.3","52.1","35.2"
"2025-10-03 14:30:12","45933.6043055556","52.2","52.0","35.0"
"2025-10-03 14:30:17","45933.6043634259","52.3","52.1","35.0"
"2025-10-03 14:30:22","45933.6044212963","52.2","52.0","35.0"
"2025-10-03 14:30:27","45933.6044791667","52.3","52.1","35.1"
"2025-10-03 14:30:32","45933.6045370370","52.2","52.0","35.0"
"2025-10-03 14:30:37","45933.6045949074","52.2","51.9","35.0"
"2025-10-03 14:30:42","45933.6046527778","52.2","51.9","35.1"
"2025-10-03 14:30:47","45933.6047106481","52.2","51.9","35.2"
"2025-10-03 14:30:52","45933.6047685185","52.3","52.0","35.1"
"2025-10-03 14:30:57","45933.6048263889","52.4","52.1","35.2"
"2025-10-03 14:31:02","45933.6048842593","52.4","52.2","35.3"
"2025-10-03 14:31:07","45933.6049421296","52.4","52.2","35.3"
"2025-10-03 14:31:12","45933.6050000000","52.4","52.3","35.3"
"2025-10-03 14:31:17","45933.6050578704","52.5","52.3","35.4"
